"Entity Name","Attribute Is PK","Attribute Is FK","Attribute Required","Attribute Name","Entity Id","Child Relationship Id","Child Relationship Name","Child Relationship Parent to Child Rule","Child Relationship Child to Parent Rule","Child Relationship Cardinality","Child Relationship Null Option","Parent Entity Name","Parent Entity Id","Parent Relationship Id","Parent Relationship Name","Parent Relationship Parent to Child Phrase","Parent Relationship Child to Parent Phrase","Parent Relationship Cardinality","Parent Relationship Parent to Child Rule","Parent Relationship Child to Parent Rule","Child Entity Id","Child Entity Name"
DOM_MANAGER.VT_DOMICILIOS,Yes,No,Yes,ID_VIN,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,{D52B964A-B9EB-4E9B-8B43-F1E15C02D07D}+00000000,R/13,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,,,,,,,,,
DOM_MANAGER.VT_DOMICILIOS,,,,,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,{8A573FD6-832E-4CA2-8FF2-30FA1BC1F096}+00000000,R/14,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_LOCALESs.","A T_LOCALES is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,,,,,,,,,
DOM_MANAGER.VT_DOMICILIOS,,,,,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,{1E64B69B-67C0-47E4-A973-F4868DFFE950}+00000000,R/16,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_ZONALESs.","A T_ZONALES is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,,,,,,,,,
DOM_MANAGER.VT_DOMICILIOS,,,,,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,{597B12CA-0F31-4B42-83B6-82D07E306D58}+00000000,R/25,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_LEGAJOSs.","A T_LEGAJOS is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,,,,,,,,,
DOM_MANAGER.VT_DOMICILIOS,,,,,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,{353FFDBC-884F-4EF4-9413-85064A0A21A4}+00000000,R/50,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,{6497A5B2-CBA0-4F7E-8407-250D255FE731}+00000000,,,,,,,,,
RCIVIL.T_CARACTERISTICAS,Yes,No,Yes,ID_CARACTERISTICA,{2A3A1F54-26A7-4F8B-9D06-72E610284260}+00000000,{8F677F6B-53B1-4429-88B9-B8471B4CF30F}+00000000,R/22,"A RCIVIL.T_CARACTERISTICAS is associated with zero, one or more T_T_CARACT_X_PERSs.","A T_T_CARACT_X_PERS is associated with exactly one RCIVIL.T_CARACTERISTICAS.",One-to-Zero-One-or-More,,RCIVIL.T_CARACTERISTICAS,{2A3A1F54-26A7-4F8B-9D06-72E610284260}+00000000,{0E220213-FDFD-424E-9013-CDAAECA3DC5E}+00000000,R/20,,,One-to-Zero-One-or-More,"A RCIVIL.T_TIPOS_CARACTERISTICA is associated with zero, one or more RCIVIL.T_CARACTERISTICASs.","A RCIVIL.T_CARACTERISTICAS is associated with exactly one RCIVIL.T_TIPOS_CARACTERISTICA.",{2A3A1F54-26A7-4F8B-9D06-72E610284260}+00000000,RCIVIL.T_CARACTERISTICAS
RCIVIL.T_CARACTERISTICAS,Yes,Yes,Yes,ID_TIPO_CARACTERISTICA,{2A3A1F54-26A7-4F8B-9D06-72E610284260}+00000000,,,,,,,,,,,,,,,,,
RCIVIL.T_OBRAS_SOCIAL,Yes,No,Yes,ID_OBRA_SOCIAL,{53B9BB8D-8372-48EF-AEF4-3B4A75CE713B}+00000000,{CDD9BCCD-6B73-432C-A792-75AA6668AF99}+00000000,FK_LEG_OBR_SOC,"A RCIVIL.T_OBRAS_SOCIAL FK_LEG_OBR_SOC zero, one or more T_LEGAJOSs.","A T_LEGAJOS is associated with zero or one RCIVIL.T_OBRAS_SOCIALs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.T_OBRAS_SOCIAL,{53B9BB8D-8372-48EF-AEF4-3B4A75CE713B}+00000000,,,,,,,,,
RCIVIL.T_TIPOS_CARACTERISTICA,Yes,No,Yes,ID_TIPO_CARACTERISTICA,{20B83703-9F32-44F9-BF8B-D4C3CE93DDFD}+00000000,{0E220213-FDFD-424E-9013-CDAAECA3DC5E}+00000000,R/20,"A RCIVIL.T_TIPOS_CARACTERISTICA is associated with zero, one or more RCIVIL.T_CARACTERISTICASs.","A RCIVIL.T_CARACTERISTICAS is associated with exactly one RCIVIL.T_TIPOS_CARACTERISTICA.",One-to-Zero-One-or-More,,RCIVIL.T_TIPOS_CARACTERISTICA,{20B83703-9F32-44F9-BF8B-D4C3CE93DDFD}+00000000,,,,,,,,,
RCIVIL.VT_ESTADOS_CIVIL,Yes,No,Yes,ID_ESTADO_CIVIL,{1720F14F-1B6A-4928-8898-94D139B17949}+00000000,{CCA1543E-CC1F-4CE3-B183-F152AA20B9C1}+00000000,FK_REL_VINC_ESTADO_CIV,"A RCIVIL.VT_ESTADOS_CIVIL FK_REL_VINC_ESTADO_CIV zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_ESTADOS_CIVILs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_ESTADOS_CIVIL,{1720F14F-1B6A-4928-8898-94D139B17949}+00000000,,,,,,,,,
