"Entity Name","Child Relationship Parent to Child Rule","Child Relationship Child to Parent Rule","Child Relationship Null Option","Parent Entity Name","Child Entity Name"
DOM_MANAGER.VT_DOMICILIOS,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.","Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,T_RELACIONES_VINCULAR
DOM_MANAGER.VT_DOMICILIOS,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_LOCALESs.","A T_LOCALES is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.","Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,T_LOCALES
DOM_MANAGER.VT_DOMICILIOS,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_ZONALESs.","A T_ZONALES is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.","Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,T_ZONALES
DOM_MANAGER.VT_DOMICILIOS,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_LEGAJOSs.","A T_LEGAJOS is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.","Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,T_LEGAJOS
DOM_MANAGER.VT_DOMICILIOS,"A DOM_MANAGER.VT_DOMICILIOS is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one DOM_MANAGER.VT_DOMICILIOSs.","Nulls Allowed",DOM_MANAGER.VT_DOMICILIOS,T_LLAMADAS_102
RCIVIL.T_CARACTERISTICAS,"A RCIVIL.T_CARACTERISTICAS is associated with zero, one or more T_T_CARACT_X_PERSs.","A T_T_CARACT_X_PERS is associated with exactly one RCIVIL.T_CARACTERISTICAS.",,RCIVIL.T_CARACTERISTICAS,T_T_CARACT_X_PERS
RCIVIL.T_OBRAS_SOCIAL,"A RCIVIL.T_OBRAS_SOCIAL FK_LEG_OBR_SOC zero, one or more T_LEGAJOSs.","A T_LEGAJOS is associated with zero or one RCIVIL.T_OBRAS_SOCIALs.","Nulls Allowed",RCIVIL.T_OBRAS_SOCIAL,T_LEGAJOS
RCIVIL.T_TIPOS_CARACTERISTICA,"A RCIVIL.T_TIPOS_CARACTERISTICA is associated with zero, one or more RCIVIL.T_CARACTERISTICASs.","A RCIVIL.T_CARACTERISTICAS is associated with exactly one RCIVIL.T_TIPOS_CARACTERISTICA.",,RCIVIL.T_TIPOS_CARACTERISTICA,RCIVIL.T_CARACTERISTICAS
RCIVIL.VT_ESTADOS_CIVIL,"A RCIVIL.VT_ESTADOS_CIVIL FK_REL_VINC_ESTADO_CIV zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_ESTADOS_CIVILs.","Nulls Allowed",RCIVIL.VT_ESTADOS_CIVIL,T_RELACIONES_VINCULAR
RCIVIL.VT_ESTUDIOS_CURSADO,"A RCIVIL.VT_ESTUDIOS_CURSADO FK_REL_VINC_ESTU_CURS zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_ESTUDIOS_CURSADOs.","Nulls Allowed",RCIVIL.VT_ESTUDIOS_CURSADO,T_RELACIONES_VINCULAR
RCIVIL.VT_ESTUDIOS_CURSADO,"A RCIVIL.VT_ESTUDIOS_CURSADO is associated with zero, one or more T_IMPLICADOS_LLAMADA_102s.","A T_IMPLICADOS_LLAMADA_102 is associated with zero or one RCIVIL.VT_ESTUDIOS_CURSADOs.","Nulls Allowed",RCIVIL.VT_ESTUDIOS_CURSADO,T_IMPLICADOS_LLAMADA_102
RCIVIL.VT_PK_PERSONA,"A RCIVIL.VT_PK_PERSONA is associated with zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_PK_PERSONAs.","Nulls Allowed",RCIVIL.VT_PK_PERSONA,T_RELACIONES_VINCULAR
RCIVIL.VT_PK_PERSONA,"A RCIVIL.VT_PK_PERSONA is associated with zero, one or more T_INSTITUCIONESs.","A T_INSTITUCIONES is associated with zero or one RCIVIL.VT_PK_PERSONAs.","Nulls Allowed",RCIVIL.VT_PK_PERSONA,T_INSTITUCIONES
RCIVIL.VT_PK_PERSONA,"A RCIVIL.VT_PK_PERSONA is associated with zero, one or more T_LEGAJOSs.","A T_LEGAJOS is associated with zero or one RCIVIL.VT_PK_PERSONAs.","Nulls Allowed",RCIVIL.VT_PK_PERSONA,T_LEGAJOS
RCIVIL.VT_PK_PERSONA,"A RCIVIL.VT_PK_PERSONA is associated with zero, one or more T_T_CARACT_X_PERSs.","A T_T_CARACT_X_PERS is associated with exactly one RCIVIL.VT_PK_PERSONA.",,RCIVIL.VT_PK_PERSONA,T_T_CARACT_X_PERS
RCIVIL.VT_SEXOS,"A RCIVIL.VT_SEXOS is associated with zero, one or more T_USR_LLAMA_102s.","A T_USR_LLAMA_102 is associated with zero or one RCIVIL.VT_SEXOSs.","Nulls Allowed",RCIVIL.VT_SEXOS,T_USR_LLAMA_102
RCIVIL.VT_SEXOS,"A RCIVIL.VT_SEXOS is associated with zero, one or more T_IMPLICADOS_LLAMADA_102s.","A T_IMPLICADOS_LLAMADA_102 is associated with zero or one RCIVIL.VT_SEXOSs.","Nulls Allowed",RCIVIL.VT_SEXOS,T_IMPLICADOS_LLAMADA_102
RCIVIL.VT_SITUACION_LABORAL,"A RCIVIL.VT_SITUACION_LABORAL FK_REL_VINC_SIT_LAB zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_SITUACION_LABORALs.","Nulls Allowed",RCIVIL.VT_SITUACION_LABORAL,T_RELACIONES_VINCULAR
RCIVIL.VT_VINCULOS,"A RCIVIL.VT_VINCULOS FK_REL_VINC_TPO_VIN_F zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_VINCULOSs.","Nulls Allowed",RCIVIL.VT_VINCULOS,T_RELACIONES_VINCULAR
RCIVIL.VT_VINCULOS,"A RCIVIL.VT_VINCULOS is associated with zero, one or more T_USR_LLAMA_102s.","A T_USR_LLAMA_102 is associated with zero or one RCIVIL.VT_VINCULOSs.","Nulls Allowed",RCIVIL.VT_VINCULOS,T_USR_LLAMA_102
RCIVIL.VT_VINCULOS,"A RCIVIL.VT_VINCULOS is associated with zero, one or more T_IMPLICADOS_LLAMADA_102s.","A T_IMPLICADOS_LLAMADA_102 is associated with zero or one RCIVIL.VT_VINCULOSs.","Nulls Allowed",RCIVIL.VT_VINCULOS,T_IMPLICADOS_LLAMADA_102
T_AGRUPAMIENTOS_DELITO,"A T_AGRUPAMIENTOS_DELITO is associated with zero, one or more T_TIPOS_DELITOs.","A T_TIPOS_DELITO is associated with zero or one T_AGRUPAMIENTOS_DELITOs.","Nulls Allowed",T_AGRUPAMIENTOS_DELITO,T_TIPOS_DELITO
T_AMBITOS_VULNERABILIDAD,"A T_AMBITOS_VULNERABILIDAD is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one T_AMBITOS_VULNERABILIDADs.","Nulls Allowed",T_AMBITOS_VULNERABILIDAD,T_LLAMADAS_102
T_CATEGORIAS_MOTIVO_I,"A T_CATEGORIAS_MOTIVO_I is associated with zero, one or more T_MOTIVOS_INTERVENCIONs.","A T_MOTIVOS_INTERVENCION is associated with zero or one T_CATEGORIAS_MOTIVO_Is.","Nulls Allowed",T_CATEGORIAS_MOTIVO_I,T_MOTIVOS_INTERVENCION
T_CATEGORIAS_TIPO_INTERV,"A T_CATEGORIAS_TIPO_INTERV FK_TPO_INT_CAT_TIPO_INT zero, one or more T_TIPOS_INTERVENCIONs.","A T_TIPOS_INTERVENCION is associated with exactly one T_CATEGORIAS_TIPO_INTERV.","No Nulls",T_CATEGORIAS_TIPO_INTERV,T_TIPOS_INTERVENCION
T_DEPARTAMENTOS_JUDICIAL,"A T_DEPARTAMENTOS_JUDICIAL is associated with zero, one or more T_ORGANOS_JUDICIALs.","A T_ORGANOS_JUDICIAL is associated with zero or one T_DEPARTAMENTOS_JUDICIALs.","Nulls Allowed",T_DEPARTAMENTOS_JUDICIAL,T_ORGANOS_JUDICIAL
T_DERECHOS_AFECTADO,"A T_DERECHOS_AFECTADO FK_MOT_INTERV_DERECHO_A zero, one or more T_MOTIVOS_INTERVENCIONs.","A T_MOTIVOS_INTERVENCION is associated with exactly one T_DERECHOS_AFECTADO.","No Nulls",T_DERECHOS_AFECTADO,T_MOTIVOS_INTERVENCION
T_DERECHOS_AFECTADO,"A T_DERECHOS_AFECTADO is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one T_DERECHOS_AFECTADOs.","Nulls Allowed",T_DERECHOS_AFECTADO,T_LLAMADAS_102
T_DERIVADORES,"A T_DERIVADORES FK_INT_PROT_INT_DERIV zero, one or more T_INTERV_MPIs.","A T_INTERV_MPI is associated with zero or one T_DERIVADORESs.","Nulls Allowed",T_DERIVADORES,T_INTERV_MPI
T_DERIVADORES,"A T_DERIVADORES FK_INT_PROT_EXC_DERIV zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_DERIVADORESs.","Nulls Allowed",T_DERIVADORES,T_INTERV_MPE
T_DERIVADORES,"A T_DERIVADORES is associated with zero, one or more T_LEGAJOSs.","A T_LEGAJOS is associated with zero or one T_DERIVADORESs.","Nulls Allowed",T_DERIVADORES,T_LEGAJOS
T_DOCS_AYUDA,,,,,
T_DOCS_INTERV_MPE,,,,,
T_DOCS_INTERV_MPI,,,,,
T_DOCS_MPENAL,,,,,
T_DOCS_SITUACION_JUDICIAL,,,,,
T_ESTADOS_INTERV,"A T_ESTADOS_INTERV is associated with zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_ESTADOS_INTERVs.","Nulls Allowed",T_ESTADOS_INTERV,T_INTERV_MPE
T_ESTADOS_LLAMADA102,,,,,
T_ESTADOS_SITUACION_JUD,"A T_ESTADOS_SITUACION_JUD is associated with zero, one or more T_SITUACION_JUDICIALs.","A T_SITUACION_JUDICIAL is associated with zero or one T_ESTADOS_SITUACION_JUDs.","Nulls Allowed",T_ESTADOS_SITUACION_JUD,T_SITUACION_JUDICIAL
T_FORMAS_CONOCIMIENTO,"A T_FORMAS_CONOCIMIENTO is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one T_FORMAS_CONOCIMIENTOs.","Nulls Allowed",T_FORMAS_CONOCIMIENTO,T_LLAMADAS_102
T_IMPLICADOS_LLAMADA_102,,,,,
T_INSTITUCIONES,"A T_INSTITUCIONES is associated with zero, one or more T_INTERV_MPJs.","A T_INTERV_MPJ is associated with zero or one T_INSTITUCIONESs.","Nulls Allowed",T_INSTITUCIONES,T_INTERV_MPJ
T_INSTITUCIONES,"A T_INSTITUCIONES is associated with zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_INSTITUCIONESs.","Nulls Allowed",T_INSTITUCIONES,T_INTERV_MPE
T_INSTITUCIONES,"A T_INSTITUCIONES is associated with zero, one or more T_INSTITUCIONES_X_TCIRCUITOs.","A T_INSTITUCIONES_X_TCIRCUITO is associated with exactly one T_INSTITUCIONES.",,T_INSTITUCIONES,T_INSTITUCIONES_X_TCIRCUITO
T_INSTITUCIONES,"A T_INSTITUCIONES is associated with zero, one or more T_ORIENTACION_LLAMADAs.","A T_ORIENTACION_LLAMADA is associated with exactly one T_INSTITUCIONES.",,T_INSTITUCIONES,T_ORIENTACION_LLAMADA
T_INSTITUCIONES_X_TCIRCUITO,,,,,
T_INTERV_MPE,"A T_INTERV_MPE is associated with zero, one or more T_DOCS_INTERV_MPEs.","A T_DOCS_INTERV_MPE is associated with zero or one T_INTERV_MPEs.","Nulls Allowed",T_INTERV_MPE,T_DOCS_INTERV_MPE
T_INTERV_MPI,"A T_INTERV_MPI is associated with zero, one or more T_DOCS_INTERV_MPIs.","A T_DOCS_INTERV_MPI is associated with zero or one T_INTERV_MPIs.","Nulls Allowed",T_INTERV_MPI,T_DOCS_INTERV_MPI
T_INTERV_MPJ,"A T_INTERV_MPJ is associated with zero, one or more T_DOCS_MPENALs.","A T_DOCS_MPENAL is associated with zero or one T_INTERV_MPJs.","Nulls Allowed",T_INTERV_MPJ,T_DOCS_MPENAL
T_LEGAJOS,"A T_LEGAJOS FK_REL_VINC_LEGAJO zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one T_LEGAJOSs.","Nulls Allowed",T_LEGAJOS,T_RELACIONES_VINCULAR
T_LEGAJOS,"A T_LEGAJOS FK_INT_PROT_INT_LEGAJO zero, one or more T_INTERV_MPIs.","A T_INTERV_MPI is associated with zero or one T_LEGAJOSs.","Nulls Allowed",T_LEGAJOS,T_INTERV_MPI
T_LEGAJOS,"A T_LEGAJOS FK_CAU_JUD_LEGAJO zero, one or more T_SITUACION_JUDICIALs.","A T_SITUACION_JUDICIAL is associated with zero or one T_LEGAJOSs.","Nulls Allowed",T_LEGAJOS,T_SITUACION_JUDICIAL
T_LEGAJOS,"A T_LEGAJOS FK_INT_PROT_EXC_LEGAJO zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_LEGAJOSs.","Nulls Allowed",T_LEGAJOS,T_INTERV_MPE
T_LEGAJOS,"A T_LEGAJOS FK_INTERV_MEP_LEGAJO zero, one or more T_INTERV_MPJs.","A T_INTERV_MPJ is associated with zero or one T_LEGAJOSs.","Nulls Allowed",T_LEGAJOS,T_INTERV_MPJ
T_LLAMADAS_102,"A T_LLAMADAS_102 is associated with zero, one or more T_LLAMADAS_X_PROBLEMATICAs.","A T_LLAMADAS_X_PROBLEMATICA is associated with zero or one T_LLAMADAS_102s.","Nulls Allowed",T_LLAMADAS_102,T_LLAMADAS_X_PROBLEMATICA
T_LLAMADAS_102,"A T_LLAMADAS_102 is associated with zero, one or more T_IMPLICADOS_LLAMADA_102s.","A T_IMPLICADOS_LLAMADA_102 is associated with zero or one T_LLAMADAS_102s.","Nulls Allowed",T_LLAMADAS_102,T_IMPLICADOS_LLAMADA_102
T_LLAMADAS_102,"A T_LLAMADAS_102 is associated with zero, one or more T_ORIENTACION_LLAMADAs.","A T_ORIENTACION_LLAMADA is associated with exactly one T_LLAMADAS_102.",,T_LLAMADAS_102,T_ORIENTACION_LLAMADA
T_LLAMADAS_X_PROBLEMATICA,,,,,
T_LOCALES,"A T_LOCALES FK_LEG_LOCAL zero, one or more T_LEGAJOSs.","A T_LEGAJOS is associated with zero or one T_LOCALESs.","Nulls Allowed",T_LOCALES,T_LEGAJOS
T_LOCALES,"A T_LOCALES is associated with zero, one or more T_USUARIOSs.","A T_USUARIOS is associated with zero or one T_LOCALESs.","Nulls Allowed",T_LOCALES,T_USUARIOS
T_LOCALES,"A T_LOCALES is associated with zero, one or more T_INTERV_MPIs.","A T_INTERV_MPI is associated with zero or one T_LOCALESs.","Nulls Allowed",T_LOCALES,T_INTERV_MPI
T_MOTIVOS_INTERV_TIPO_CIRC,,,,,
T_MOTIVOS_INTERVENCION,"A T_MOTIVOS_INTERVENCION FK_INT_PROT_INT_MOT_INT zero, one or more T_INTERV_MPIs.","A T_INTERV_MPI is associated with zero or one T_MOTIVOS_INTERVENCIONs.","Nulls Allowed",T_MOTIVOS_INTERVENCION,T_INTERV_MPI
T_MOTIVOS_INTERVENCION,"A T_MOTIVOS_INTERVENCION FK_INT_PROT_EXC_MOT_INT zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_MOTIVOS_INTERVENCIONs.","Nulls Allowed",T_MOTIVOS_INTERVENCION,T_INTERV_MPE
T_MOTIVOS_INTERVENCION,"A T_MOTIVOS_INTERVENCION FK_INTERV_MEP_MOT_INT zero, one or more T_INTERV_MPJs.","A T_INTERV_MPJ is associated with zero or one T_MOTIVOS_INTERVENCIONs.","Nulls Allowed",T_MOTIVOS_INTERVENCION,T_INTERV_MPJ
T_MOTIVOS_INTERVENCION,"A T_MOTIVOS_INTERVENCION is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one T_MOTIVOS_INTERVENCIONs.","Nulls Allowed",T_MOTIVOS_INTERVENCION,T_LLAMADAS_102
T_MOTIVOS_INTERVENCION,"A T_MOTIVOS_INTERVENCION is associated with zero, one or more T_MOTIVOS_INTERV_TIPO_CIRCs.","A T_MOTIVOS_INTERV_TIPO_CIRC is associated with exactly one T_MOTIVOS_INTERVENCION.",,T_MOTIVOS_INTERVENCION,T_MOTIVOS_INTERV_TIPO_CIRC
T_ORGANOS_JUDICIAL,"A T_ORGANOS_JUDICIAL FK_INTERV_MEP_JUZG zero, one or more T_INTERV_MPJs.","A T_INTERV_MPJ is associated with zero or one T_ORGANOS_JUDICIALs.","Nulls Allowed",T_ORGANOS_JUDICIAL,T_INTERV_MPJ
T_ORGANOS_JUDICIAL,"A T_ORGANOS_JUDICIAL is associated with zero, one or more T_SITUACION_JUDICIALs.","A T_SITUACION_JUDICIAL is associated with zero or one T_ORGANOS_JUDICIALs.","Nulls Allowed",T_ORGANOS_JUDICIAL,T_SITUACION_JUDICIAL
T_ORIENTACION_LLAMADA,,,,,
T_PRIORIDADES_LLAMADA_102,"A T_PRIORIDADES_LLAMADA_102 is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one T_PRIORIDADES_LLAMADA_102s.","Nulls Allowed",T_PRIORIDADES_LLAMADA_102,T_LLAMADAS_102
T_PROBLEMATICAS,"A T_PROBLEMATICAS is associated with zero, one or more T_LLAMADAS_X_PROBLEMATICAs.","A T_LLAMADAS_X_PROBLEMATICA is associated with zero or one T_PROBLEMATICASs.","Nulls Allowed",T_PROBLEMATICAS,T_LLAMADAS_X_PROBLEMATICA
T_RELACIONES_VINCULAR,,,,,
T_ROLES,"A T_ROLES is associated with zero, one or more T_USUARIOSs.","A T_USUARIOS is associated with zero or one T_ROLESs.","Nulls Allowed",T_ROLES,T_USUARIOS
T_SITUACION_JUDICIAL,"A T_SITUACION_JUDICIAL is associated with zero, one or more T_DOCS_SITUACION_JUDICIALs.","A T_DOCS_SITUACION_JUDICIAL is associated with zero or one T_SITUACION_JUDICIALs.","Nulls Allowed",T_SITUACION_JUDICIAL,T_DOCS_SITUACION_JUDICIAL
